,S&P 500 Index,SCHG,SCHV,Invesco Funds - Invesco Global Investment Grade Corporate Bond Fund,iShares Core Global Aggt Bd ETF USD Dist,PIMCO GIS Asia Strategic Interest Bond Fund,"JANUS HENDERSON US SHORT TERM BOND ""A2"" (USD) ACC",Neuberger Berman High Yield Bond,Bloomberg Global-Aggregate Total Return Index Value Unhedged USD,MSCI World Index,MSCI World Net Total Return USD Index,AQUMON MPF Composite Index,AQUMON MPF Bond Index,AQUMON MPF Mixed Index,AQUMON MPF DIS Index,AQUMON MPF Equity Index,AQUMON MPF Equity Global Index,AQUMON MPF Equity US Index,AQUMON MPF Equity Europe Index,AQUMON MPF Equity Asia Index,AQUMON MPF Equity Greatchina index
2019-08-05,1.936,103.26739,12.75,12.197,5.29427,,17.41,16.41,510.0874,2097.32,6100.893,1.172536059,1.039235089,1.182194811,1.161354501,1.217444999,1.223281325,1.520153804,1.059187539,1.192848604,1.216183059
2019-08-06,1.9016,103.86703,12.74,12.2141,5.29509,,17.41,16.44,510.1251,2109.2,6135.653,1.171841812,1.039973014,1.182496015,1.164559395,1.214578892,1.229475124,1.527864054,1.058122213,1.18620054,1.210281427
2019-08-07,1.9052,104.11394,12.75,12.2513,5.31942,,17.41,16.4,512.4631,2114.05,6149.851,1.174089524,1.040994704,1.185531473,1.167534313,1.216656176,1.231439201,1.534728321,1.061247741,1.187626108,1.211720389
2019-08-08,1.9403,105.78352,12.75,12.2423,5.30628,,17.41,16.49,511.1306,2146.91,6248.116,1.181306983,1.041429702,1.192320351,1.17281793,1.228866802,1.249126641,1.558274396,1.075243117,1.196762086,1.220639018
2019-08-09,1.928,105.23091,12.76,12.2445,5.30864,,17.41,16.49,511.3659,2135.34,6215.003,1.177897612,1.041594882,1.18911323,1.169888977,1.222842387,1.242729193,1.555412627,1.068157546,1.19073431,1.211839219
2019-08-12,1.9163,104.36085,12.75,12.2496,5.3262,,17.42,16.48,513.1366,2117.65,6163.954,1.175633174,1.042191609,1.187774349,1.168900555,1.217548929,1.233253903,1.53719861,1.062717727,1.188009118,1.208917965
2019-08-13,1.9266,105.19564,12.74,12.2871,5.31295,,17.41,16.52,511.7882,2134.54,6213.237,1.171374454,1.042212662,1.185673748,1.172273467,1.207852146,1.240755497,1.552643612,1.066237505,1.1692077,1.18819782
2019-08-14,1.8896,102.83235,12.74,12.291,5.3303,,17.42,16.44,513.5523,2086.26,6074.133,1.167362598,1.043144378,1.180954016,1.166229094,1.201394249,1.215345288,1.518989194,1.048187447,1.172496269,1.19031303
2019-08-15,1.886,102.70302,12.74,12.291,5.34324,,17.44,16.44,514.7637,2082.84,6065.993,1.167813546,1.043990908,1.181465513,1.16833714,1.201484501,1.214244956,1.513738417,1.038760318,1.174869934,1.196434055
2019-08-16,1.9063,103.99636,12.75,12.3437,5.33636,,17.44,16.48,514.0519,2108.5,6141.264,1.174217198,1.043905243,1.186958846,1.17226837,1.213284592,1.228019188,1.531182594,1.051647908,1.185244167,1.208893305
2019-08-19,1.9243,105.14861,12.74,12.3191,5.31952,,17.44,16.52,512.4882,2131.81,6209.488,1.183065397,1.043410426,1.193721698,1.174517958,1.23084869,1.240900853,1.549486197,1.064842343,1.204425645,1.231928375
2019-08-20,1.919,104.54897,12.74,12.3286,5.32948,,17.45,16.53,513.466,2119.57,6174.071,1.182850437,1.04365204,1.193398132,1.173949852,1.230455257,1.235410699,1.544562032,1.05912117,1.206670645,1.233479763
2019-08-21,1.9351,105.33673,12.75,12.3373,5.32784,,17.44,16.59,513.2792,2135.52,6220.761,1.185334062,1.043437221,1.196046757,1.176440775,1.234532315,1.243714744,1.552891888,1.069508534,1.208183824,1.236233212
2019-08-22,1.9274,105.16037,12.76,12.3471,5.31829,,17.43,16.61,512.2655,2131.68,6210.083,1.181666205,1.042526159,1.192456952,1.173727562,1.228973353,1.240083076,1.554375329,1.065768883,1.20116435,1.228811902
2019-08-23,1.9005,103.33793,12.77,12.3256,5.33759,,17.45,16.59,514.1447,2094.63,6102.29,1.179256185,1.042833896,1.189162846,1.167869574,1.225822192,1.222187363,1.521845391,1.05931639,1.205594241,1.23475548
